u,v,u_coordinate,v_coordinate
23,49,"('P', 4, 3)","('Q', 4, 4)"
23,36,"('P', 4, 3)","('Q', 2, 1)"
23,40,"('P', 4, 3)","('Q', 3, 0)"
23,24,"('P', 4, 3)","('P', 4, 4)"
23,28,"('P', 4, 3)","('Q', 0, 3)"
24,33,"('P', 4, 4)","('Q', 1, 3)"
24,29,"('P', 4, 4)","('Q', 0, 4)"
24,37,"('P', 4, 4)","('Q', 2, 2)"
24,41,"('P', 4, 4)","('Q', 3, 1)"
24,45,"('P', 4, 4)","('Q', 4, 0)"
25,27,"('Q', 0, 0)","('Q', 0, 2)"
25,28,"('Q', 0, 0)","('Q', 0, 3)"
26,28,"('Q', 0, 1)","('Q', 0, 3)"
26,29,"('Q', 0, 1)","('Q', 0, 4)"
27,29,"('Q', 0, 2)","('Q', 0, 4)"
30,32,"('Q', 1, 0)","('Q', 1, 2)"
30,33,"('Q', 1, 0)","('Q', 1, 3)"
31,33,"('Q', 1, 1)","('Q', 1, 3)"
31,34,"('Q', 1, 1)","('Q', 1, 4)"
32,34,"('Q', 1, 2)","('Q', 1, 4)"
35,37,"('Q', 2, 0)","('Q', 2, 2)"
35,38,"('Q', 2, 0)","('Q', 2, 3)"
36,38,"('Q', 2, 1)","('Q', 2, 3)"
36,39,"('Q', 2, 1)","('Q', 2, 4)"
37,39,"('Q', 2, 2)","('Q', 2, 4)"
40,42,"('Q', 3, 0)","('Q', 3, 2)"
40,43,"('Q', 3, 0)","('Q', 3, 3)"
41,43,"('Q', 3, 1)","('Q', 3, 3)"
41,44,"('Q', 3, 1)","('Q', 3, 4)"
42,44,"('Q', 3, 2)","('Q', 3, 4)"
45,48,"('Q', 4, 0)","('Q', 4, 3)"
45,47,"('Q', 4, 0)","('Q', 4, 2)"
46,48,"('Q', 4, 1)","('Q', 4, 3)"
46,49,"('Q', 4, 1)","('Q', 4, 4)"
47,49,"('Q', 4, 2)","('Q', 4, 4)"
